edge,daily,liq,spread,comp,dte,price,vol24,max_spread,min_size,q,cid
12.87,20.0,554.0,0.02,0.992,119,0.41,412.0,4.5,20,"Will Slingshot launch a token by September 30, 2026?",0x1c9da9658515235f9970bba05cd89a33674a6aeef65e2e9ea551919e47d5588c
12.85,80.0,5228.0,0.02,0.972,14,0.33,398.0,4.5,20,Will Kroger Q1 identical sales without fuel growth be be,0x88fcccaab82e5e68027b190febd67ee9b59f9715acca7c1b016af3b65d5355e6
12.37,200.0,15163.0,0.01,0.92,27,0.205,5549.0,5.5,50,Will WTI Crude Oil (WTI) hit (HIGH) $115 in June?,0x2c01f20a44b5d4dd7d7e784da6dfa2da56a2dc26aa572715e20050102e88afcb
12.28,200.0,15281.0,0.02,0.998,27,0.55,4810.0,5.5,50,Will WTI Crude Oil (WTI) hit (HIGH) $105 in June?,0x394fa541074583a82786e8480c1ebf3c06fe9f54daa740a90e46fe0741e1527e
12.16,20.0,645.0,0.01,0.888,576,0.855,253.0,4.5,20,"Will Slingshot launch a token by September 30, 2027?",0xf4d48163eadda3880a8572dce5e86c76d1404b2e54bead06a1896dedd9cffcfb
12.15,22.0,811.0,0.02,0.998,27,0.54,277.0,4.5,50,"Will Tesla, Inc. (TSLA) hit (LOW) $390 in June?",0x13ff6420d6142a4140625dfaaaba9152827a8daaf97936c1b41d778ca4c1ce0e
11.76,40.0,2400.0,0.01,0.997,576,0.555,219.0,4.5,20,"Will Titan launch a token by December 31, 2027?",0x63998dfe73af15351b85c125f78a9585af806a44f9b360849120f6a61227583c
11.74,40.0,2408.0,0.01,1.0,211,0.505,299.0,4.5,20,"Will BULK launch a token by December 31, 2026?",0x1619d6c3c6768bbace39d23005592f9906bdc7704ff7bdb87edd667518cf0858
11.33,200.0,16652.0,0.01,0.991,27,0.595,3064.0,5.5,50,Will WTI Crude Oil (WTI) hit (LOW) $85 in June?,0x1d1c15c3c9a75382ade580fe59be9b6b17074c0d36847c3740b1b642d48f9ea8
11.29,20.0,771.0,0.01,0.948,27,0.265,1569.0,4.5,20,"Will Cambria launch a token by June 30, 2026?",0xa3fae3f2599679528bb3f048c4e911b5e1b1970b830985e479fa3fe40e302377
11.27,20.0,775.0,0.01,1.0,392,0.505,284.0,4.5,20,"Will Curvance launch a token by June 30, 2027?",0xebcf674ad75e775c4ed8e51afe5911b5fac967db19b0dac8fe761d8b1d62637a
11.15,400.0,34864.0,0.01,0.982,392,0.365,20422.0,5.5,20,"Will Anthropic IPO by September 30, 2026?",0x2450ec499544c566d0de8bbd7739fb68b598c6ad380f0c1ddf3b731d42ec6b19
11.12,200.0,16988.0,0.02,0.874,27,0.12,1291.0,5.5,50,Will WTI Crude Oil (WTI) hit (HIGH) $125 in June?,0x5eed2b8a92f935bafeda8ad20ee2aff166f12dd7ee83dfa30cdedc607432a2ef
10.97,37.0,2373.0,0.021,0.973,161,0.3335,740.0,4.5,20,Will Cam Schlittler win the 2026 AL Cy Young Award?,0xff1e63f197af4d9a2d6d30947ebd71c277a28fa9dfaa7dbbdcc0cf3d3b2f186a
10.85,200.0,17431.0,0.01,0.956,27,0.715,24306.0,5.5,50,Will WTI Crude Oil (WTI) hit (HIGH) $100 in June?,0x9586c8a756737566608c7821cbb4eccd165a02f64502e7302bf14b13063e5e86
10.81,200.0,17507.0,0.01,0.904,27,0.825,3648.0,5.5,50,Will WTI Crude Oil (WTI) hit (LOW) $90 in June?,0x5619adb4f6a420a495f2e1cdc4294a89b9c807a27bbdf998755df21be2962b81
10.6,20.0,887.0,0.03,0.979,119,0.645,662.0,4.5,20,"Will Cambria launch a token by September 30, 2026?",0x76151e439f0133b0ec1070f3b0045b95de7f84db8bcad1eb75f8b49ff7f10544
10.07,20.0,987.0,0.04,0.998,576,0.55,370.0,4.5,20,"Will 3jane launch a token by June 30, 2027?",0x79c6e0184906aa6a58e4395922f2a002e6feda7b3904555e082499622a6cb36b
10.05,100.0,8948.0,0.01,0.982,15,0.635,19676.0,4.5,20,Will President Trump attend the NBA Finals?,0x58e514036d7a8ffcbde14a5c189d4282f837585656885d4856cec0a41349fe27
9.95,58.0,4827.0,0.01,0.963,27,0.305,586.0,4.5,50,Will Natural Gas (NG) hit (HIGH) $3.60 in June?,0xcc0a820a19e30d5e6d79d95431d3f3cc4c1f14b1ce6692dfbc733d586e8c2304
9.86,100.0,9141.0,0.01,0.952,575,0.725,5664.0,4.5,100,Will Anthropic or OpenAI IPO first?,0xc289a877bc155123069739b21d690b3e8dc220b98f6ae3924468bbcbdfaf98dc
9.86,32.0,2247.0,0.04,0.972,20,0.67,1830.0,4.5,20,Will Darryn Peterson be the 2nd overall pick in the 2026,0x9fe1bd3fac672d82df92a875b38eee5e5135940001b645484b845def4d397a96
9.83,36.0,2662.0,0.02,0.975,20,0.66,656.0,4.5,20,Will Cameron Boozer be the 3rd overall pick in the 2026 ,0x79285b82cd5f64c04826cde68b1d90d781c69e26fbbd6dc76db61c7f6cf7f478
9.72,750.0,76146.0,0.01,0.982,316,0.365,2708.0,4.5,100,Sports Prediction Markets taxed as gambling?,0x3a7fe8fa58bde67a753d46b5b8210a53b9fbc7a6c424b41a9b00015588c3e2a3
9.67,36.0,2721.0,0.01,0.934,21,0.235,795.0,4.5,20,Will Durable Goods Orders MoM be between 2% and 4% in Ma,0x82aecb024e8a49d9921d4b66fbaf735b861106bec5acce2154afe46d618e54da
9.65,15.0,555.0,0.04,0.965,27,0.31,545.0,4.5,50,Will Palantir Technologies Inc. (PLTR) hit (LOW) $132 in,0x5af28d750b7c6d9530dacb7711db8fa27bcc45d06434d5bb9de6ea38fef0650c
9.39,65.0,5922.0,0.01,0.96,14,0.295,842.0,4.5,20,Will Kroger Q1 identical sales without fuel growth be be,0xb2500007458986cf1a29eddbc8bd440a754edd8b397788f93b9ef08be5eb02ba
9.22,200.0,20699.0,0.01,0.894,26,0.155,20097.0,3.5,200,US announces new Iran agreement/ceasefire extension by J,0x5c0e75027a5561ea72a0776b00086be32fb4af8e758d26be217ac6c9efcdadf9
9.16,55.0,5006.0,0.01,1.0,27,0.495,646.0,4.5,50,Will NVIDIA (NVDA) hit (HIGH) $240 in June?,0x713695e7824f13a460a013bdb5985ec7eb428adc50d045405f83dea6af41fc27
8.97,13.0,449.0,0.04,0.994,27,0.58,278.0,4.5,50,"Will Coinbase Global, Inc. (COIN) hit (HIGH) $190 in Jun",0x164f2f70844eedef4b1f8c88bef966a0d41343bea544652e468e523efc0f44ed
8.88,20.0,1253.0,0.02,0.99,392,0.6,440.0,4.5,20,"Will Hotstuff launch a token by June 30, 2027?",0x8fe50f0994b8106800ce5332271087007efa9ba8a356b5d4c0f2f81dfda0a8ca
8.75,200.0,21861.0,0.01,0.882,27,0.135,2767.0,5.5,50,Will WTI Crude Oil (WTI) hit (LOW) $75 in June?,0x68f69b5563c4adb083c573c0876bb13f605fc9dfc2e6cfe5b1fa72f6b907cdf1
8.7,38.0,3368.0,0.02,0.917,22,0.2,606.0,4.5,20,Will UMich Consumer Sentiment be between 43.0 and 45.9 i,0x16151b7165b012d9e4c9b7c334527d74e68a368d7703a2b696bfe3cae9f93966
8.6,36.0,3187.0,0.02,0.917,14,0.2,433.0,4.5,20,Will Kroger Q1 identical sales without fuel growth be ab,0xec4afd2551c42330b3d2ab24dbb97a5a22359bd248553327c7e3672a81ea287a
8.26,50.0,5054.0,0.01,0.93,575,0.225,930.0,5.5,20,Will Goldman Sachs or any of its underwriting affiliates,0x27dcf3218163c07c9509240174f145ec03631f5598ad8d216fa369878b94fbd8
7.74,51.0,5592.0,0.02,1.0,27,0.48,3171.0,4.5,50,"Will Robinhood Markets, Inc. (HOOD) hit (HIGH) $100 in J",0xc6db5e3757db0275494e8f34caab01036b9f52cdfa104311d6682c1d9922a668
7.64,40.0,4235.0,0.02,0.932,27,0.23,1352.0,4.5,20,Will Trump praise Weijia Jiang by June 30?,0x7c0089408f6c3191e7c2260cffa17cece060f173ab13d2e9a398a4d9ffe19a07
6.97,600.0,85077.0,0.003,0.911,152,0.8125,173263.0,4.5,100,Will Xavier Becerra win the California Governor Election,0xa5d79e71e66c9fe122f8b8b3ca6ab7a0e3048bd8508f130746944e92ed79ddf3
6.9,40.0,4796.0,0.02,0.95,27,0.27,3039.0,4.5,20,Will Trump praise Delcy Rodriguez by June 30?,0x2e627b039e20420b37405299bcc5fcf1609380ac8479ba067196069d754dc651
6.89,15.0,1176.0,0.01,0.982,26,0.635,385.0,4.5,100,Will USD fall to 1.7M Iranian rials by June 30?,0xbd766b4214254635d98317461ff044ab883848b76a7dcdbba8c16c96645df275
6.86,200.0,28170.0,0.01,0.979,27,0.355,17161.0,5.5,50,Will WTI Crude Oil (WTI) hit (LOW) $80 in June?,0x8df9bd0fa7983177691f7fbb910ac9ead0a1468f953f8130a80dddbc50deb5ab
6.7,200.0,28873.0,0.01,0.943,26,0.745,3999.0,4.5,50,US announces new Iran agreement/ceasefire extension by J,0x724a93f3e0ed0a6c83d2b4f2bc60839b39a92cc2c7cbac0169447f48d72537ab
6.68,15.0,1247.0,0.03,0.888,26,0.145,884.0,4.5,100,Will USD reach 2.0M Iranian rials by June 30?,0xcacf7d15d1c3fcff65dc01aabd006d26cca13ab872917d385c1673696da4f004
6.65,200.0,29066.0,0.01,0.894,27,0.155,5864.0,5.5,50,Will WTI Crude Oil (WTI) hit (HIGH) $120 in June?,0xbb1be4fe1444180e094701f32dc9d39b4fb64063a397b72238b22b9839a9fc3f
6.52,50.0,6669.0,0.01,0.952,575,0.275,623.0,5.5,20,Will Morgan Stanley or any of its underwriting affiliate,0xdee26876ad54f7d8b491fa1438a0e99a8aa855b9ed077eb9d290c6ef0c877df4
6.42,40.0,5228.0,0.01,0.92,27,0.205,2140.0,4.5,20,Will Trump praise Vladimir Putin by June 30?,0x0704dec6767f525a49b05cd00ac22e494ad130934f624c6ae8bddc7149ccd609
6.39,35.0,4480.0,0.03,1.0,27,0.515,748.0,4.5,50,"Will Meta Platforms, Inc. (META) hit (HIGH) $640 in June",0xc32f0a21e381b83e96a37a9a24862e8dc3789aabfe1970e696955f0e27916a3c
6.39,14.0,1191.0,0.04,0.891,27,0.15,558.0,4.5,50,Will S&P 500 (SPY) hit (LOW) $700 in June?,0xfe7abd38587541c494f2b81c0438269b9450f0aff22539f91a10b8f16767b018
6.38,29.0,3547.0,0.014,0.967,26,0.314,5617.0,4.5,20,"Will ""The Devil Wears Prada 2"" be the May film with the ",0xa6c3ce745e9fe68eaacf7a6e2712192d134e1d18c8ac8dab02f825c481eb5add
6.29,15.0,1383.0,0.03,1.0,26,0.495,2681.0,4.5,100,Will USD reach 1.8M Iranian rials by June 30?,0xf3ac84cfc033f0def72d252ff0901ac5e57744cbce8d750c854166235f44b444
6.07,20.0,2295.0,0.02,0.902,27,0.83,852.0,4.5,40,Will SpaceX's valuation hit (HIGH) $2.0T by June 30?,0xfb6367bf20cde47fbf38244e9a7f7f86c88f63117f7dc31d25cb93fe27f9f95f
5.82,20.0,2436.0,0.02,1.0,27,0.49,1061.0,3.5,100,Will Anthropic’s valuation hit (HIGH) $1.1T by June 30?,0x0ea81f1ee87b0f3f62cf6553304820aa8ad69e25b2078d62e7f77f0c65ed54ab
5.81,40.0,5879.0,0.01,0.996,27,0.435,2976.0,4.5,20,Will Trump praise Susan Dell by June 30?,0x708dd534d004d95ee6de71133e261061fcd254cdbde2faea80691d4d33f70773
5.73,100.0,16440.0,0.01,0.894,26,0.845,9196.0,4.5,20,Trump declassifies new UFO files by June 30?,0xd74764448c8b1e4e4a9aa648d7e884122cf559cf643177f0cdc4b0e422830d3c
5.63,40.0,6110.0,0.01,0.925,27,0.215,1666.0,4.5,20,Will Trump praise Lionel Messi by June 30?,0x2486e88d3d3966a42bdf242fb5af39cde42e728a55eb79ed0abeb5f6694300bd
5.58,31.0,4551.0,0.03,0.939,27,0.245,3384.0,4.5,50,Will S&P 500 (SPY) hit (HIGH) $780 in June?,0x17fc0c4b78fc82a7ede1a999d29faaa8ba8f9d7b4e4de88d8e27c8b788beae98
5.43,15.0,1761.0,0.04,0.927,26,0.22,2287.0,4.5,100,Will USD reach 1.9M Iranian rials by June 30?,0x721f396282b27b3c2d78d88170285941686e071b7b4a2a1463f68061b6c581ce
5.34,45.0,7420.0,0.03,0.977,27,0.455,1215.0,4.5,50,Will Palantir Technologies Inc. (PLTR) hit (HIGH) $168 i,0xbf3a6fc342bc4bd5282ea4601564c47e8248327e69fe2c5fa95ae01be56325a5
5.34,32.0,4987.0,0.01,0.934,27,0.235,438.0,4.5,50,"Will Gold (XAUUSD) hit (LOW) $4,200 in June?",0x3bd2e97bd366a2bcf808dd7f416706daee98b1146523da21c412555e59352d36
5.33,25.0,3694.0,0.03,0.915,27,0.195,1484.0,4.5,50,"Will Gold (XAUUSD) hit (HIGH) $4,800 in June?",0x0f0b9082b8971e5a4a52f18e540b77d5c272b30b8f4315d048ee0f8e600cfd9e
5.16,20.0,2873.0,0.041,0.876,27,0.1245,2919.0,4.5,20,"Will Multipli.fi launch a token by June 30, 2026?",0xe0f06fd37fb1429457ef3f3e1d9455c8df4c7fce0a924f9a22ae46cac17907b2
5.14,10.0,947.0,0.03,0.991,15,0.595,702.0,4.5,50,"Will a new Gemini flagship be released by June 19, 2026?",0x8d7fe55c527d3f1cc689bc21d407d3bc28c8dc6968685a7ab666bc0a2e669e0c
5.06,100.0,18765.0,0.01,0.987,26,0.615,17958.0,4.5,20,Trump declassifies new UFO files by June 15?,0x3deb9137ed843d8e462eacad2ebba2b1ecd079ed539caa538b697f3117cc370f
4.98,100.0,19067.0,0.01,0.979,17,0.355,29479.0,4.5,200,"US x Iran diplomatic meeting by June 21, 2026?",0x3088733a3d7f03d026035f6dd7df44a82c59eeb95545dda3889b65baa9a36e82
4.95,300.0,59590.0,0.01,0.996,26,0.565,73149.0,4.5,200,US announces new Iran agreement/ceasefire extension by J,0xa48ee32a0cbe5bc1a48844bd14e1691701d3bf8f45f4dd8cb8d1d304561393b6
4.79,200.0,40719.0,0.01,0.899,26,0.165,56004.0,4.5,200,Israel closes its airspace by June 30?,0x676e7cda423f5826bcbb3c141e808ad7c66bc2d055e4d0aca79c26779712062c
4.68,20.0,3270.0,0.02,0.932,26,0.23,1510.0,5.5,40,Will there be at least 2150 measles cases in the U.S. by,0xf70815830af2e9b951efab2c55d1f9c7b011be82e1986de71f816edbe66c127d
4.62,30.0,5498.0,0.01,0.934,210,0.765,2345.0,3.5,200,OpenAI IPO before 2027?,0x7844ad013088564a11d5d4d3b1766c57ad936a55247f0ae1efe28180d7285af3
4.51,30.0,5652.0,0.03,0.894,26,0.844,2042.0,4.5,50,"Will a new Gemini flagship be released by June 30, 2026?",0x55531f18047d867e870e97ab7ab9361af02b69aeb5f04c37fef43fc50b20a11a
4.46,34.0,6620.0,0.02,0.986,27,0.38,971.0,4.5,50,Will Silver (XAGUSD) hit (LOW) $68 in June?,0x4ab353eb216f4d5c05c81e42e7276085c0fa625d8ea77b8b6b05dee44d0d9af9
4.44,23.0,4183.0,0.036,0.885,22,0.139,471.0,4.5,20,Will UMich Consumer Sentiment be below 40.0 in June?,0x43a553e6eeb754b68d14ee5f079fee88f437e730ce17719f7e03e375c8538ee0
4.42,100.0,21650.0,0.01,0.973,57,0.335,27800.0,4.5,200,Iran closes its airspace by July 31?,0x46e99bb62eda23f2d65b8d789910e54e205c14b16b59939d51b01a55f63e7c38
4.25,22.0,4181.0,0.02,0.994,27,0.42,304.0,4.5,50,Will Alphabet Inc. (GOOGL) hit (HIGH) $390 in June?,0x6ef324fe4f1094884c5b26b280c143ef006515885ffc072a3390eca7c4ad0e60
4.15,19.0,3582.0,0.03,0.96,198,0.295,1330.0,4.5,20,Will JJ Wetherholt win the 2026 NL Rookie of the Year aw,0x960f934d7f76dda986cbbb596190c67bbca2f2f20f181667b49dccdefcbf6e3a
4.12,28.0,5804.0,0.01,0.985,161,0.375,236.0,4.5,20,Will Cristopher Sanchez win the 2026 NL Cy Young Award?,0xa4e5f3afad90296ba5984e43078bea6da167545105eeb29797780b23f074df34
4.1,32.0,6804.0,0.03,0.985,162,0.375,1127.0,4.5,20,Will Aaron Judge win the 2026 American League MVP Award?,0x6f685174c7b5f11a8b7cd7bc7d2d368e634a0ca9016434d323b4cd8c9d8c71b7
4.06,15.0,2698.0,0.03,0.92,57,0.795,3709.0,4.5,100,Will the next Google Gemini Pro model be released by Jun,0x7a6622789c3003de9202d6840c420ea7a85896b8c291792a03496b71c4a37261
4.03,51.0,11648.0,0.02,0.937,38,0.76,835.0,4.5,100,Will a team from LCK (South Korea) win MSI 2026?,0x4890e36c536eef20111bd617f6479b6b7384ad2ebf16e18a108d989dc0aa9f9e
3.93,29.0,6370.0,0.01,0.943,26,0.26,1508.0,4.5,100,"Will OpenAI not IPO by December 31, 2026?",0x3849e1d62e0807801913d3e2427e8caf3cc6dd1c8ef42d8d5c08c6f9c449dc5e
3.93,200.0,49934.0,0.009,0.927,26,0.2195,288844.0,4.5,200,Iran closes its airspace by June 30?,0x51a7c8afb7a0e09b8b47643171d90f400de23a176c4ea06f6552d6e53213839c
3.72,15.0,3035.0,0.03,0.877,57,0.125,1049.0,4.5,100,Will the next Google Gemini Pro model be released by Jun,0x01e653fd5413472e714d1415b153685e9dcc2eb88c9292c1ccd5befb1e3524c8
3.62,26.0,6179.0,0.02,0.874,57,0.88,1620.0,4.5,100,Will ICEMAN be No.1 for 4 weeks or more?,0x04e6c15f41c52efc6b9c003f96f23437b6ad5f0ca93407d467b49383cd20d2b9
3.59,20.0,4571.0,0.02,0.998,27,0.445,3500.0,4.5,40,Will SpaceX's valuation hit (HIGH) $2.5T by June 30?,0x9e4948862eb04660e72665de642796c9d1fe7b180f5b46aef3fafa846cd4613f
3.57,12.0,2366.0,0.02,0.927,26,0.78,749.0,4.5,50,Will Elon Musk’s net worth be at least $800b on June 30?,0x8fd8fa31b1ee99e1d72bdde2e0358414064575d90385b6619f8a8c888691dd5b
3.44,40.0,10625.0,0.01,0.97,211,0.325,4751.0,4.5,20,Ostium FDV above $200M one day after launch?,0x6b8935125ae53f38df468e712b08edd084f87e0aea98a5d0fbd66a013eed5f89
3.29,400.0,120466.0,0.01,0.915,17,0.805,61405.0,3.5,200,Will Abelardo de la Espriella  win the 2026 Colombian pr,0xfbe85201ab2b4acff01cd5a3639039fc813d3448c64db081f70926bd9b9e74e9
3.25,400.0,122193.0,0.01,0.904,17,0.175,75568.0,3.5,200,Will Ivan Cepeda Castro win the 2026 Colombian president,0x0fb006e0c06caa4db12f7e30ec8c2483d658f83eb57b2ee8eb478e39beca3dfd
3.12,12.0,2851.0,0.03,0.952,26,0.725,1134.0,4.5,50,Will Anthropic have the third best AI model at the end o,0x3c6ece0cadb3d3d87bd47ac065722bf75521e904274870da03e164d719ea2c14
2.9,20.0,5901.0,0.01,0.92,27,0.205,1228.0,4.5,40,Will SpaceX's valuation hit (HIGH) $3.0T by June 30?,0x271660fedc0b7e2fb1d7f007b704e67102cb29d3def2ebaa66018041430d1fe0
2.86,20.0,5989.0,0.01,0.934,27,0.235,1525.0,4.5,40,Will Anthropic’s valuation hit (HIGH) $1.25T by June 30?,0x57fa09373e78720fbe390d8bf873fd06f8fb3bb27b781bf12309f2f85ba23871
2.75,15.0,4461.0,0.04,0.902,11,0.17,340.0,5.5,100,Israeli parliament dissolved by June 15?,0xdbdcd65ce03b31e1c8444c5813f709dd258b7d90d4d81ae644a0351cd26de2d7
2.62,24.0,8174.0,0.01,0.97,27,0.325,402.0,4.5,50,Will Silver (XAGUSD) hit (HIGH) $84 in June?,0xf7f5ce218d779ef4bbfed1e2a60cfa34adcd35e95ef233afea3ded3893f20bda
2.62,10.0,2823.0,0.02,0.932,26,0.77,557.0,4.5,50,Will Alibaba have the best AI model at the end of June 2,0x897227c17469bd18eaf9bc54e31e8d742e57ee4a3186b52306fdbad12e62ca76
2.6,10.0,2848.0,0.03,0.956,162,0.285,560.0,4.5,20,Will Bobby Witt Jr. win the 2026 American League MVP Awa,0x43990f2943e63fff7fa48826d1abef25b69b9e5e2d6da59309c459c76ce22da9
2.51,10.0,2982.0,0.01,0.982,211,0.365,2367.0,4.5,20,Will OpenAI's valuation hit (HIGH) $1.75T by December 31,0xb202db72798accbbae7e83a9ccb4e7120a6556af622a8acd51013041b29c100e
2.49,100.0,39093.0,0.01,0.943,11,0.255,41261.0,4.5,200,Will Donald Trump announce that the United States blocka,0x3094a2b925483a06aa72945a1472e311e5eb6be75284f61e0c008e279508ddf6
2.47,30.0,11137.0,0.02,0.922,26,0.21,3844.0,4.5,200,Ebola case in the US by June 30?,0x0a632e4dc9cce43da54a282cb46784ee9a13b0e0825c831f4d122531143e8ace
2.39,15.0,5275.0,0.04,0.891,198,0.15,541.0,4.5,20,Will Konnor Griffin win the 2026 NL Rookie of the Year a,0x5b30185cd8393093f1c792c425587ad10b3d595983a23bd3599c82557c34a16d
2.35,20.0,7527.0,0.01,0.934,211,0.235,2563.0,4.5,20,Will OpenAI's valuation hit (HIGH) $2.5T by December 31?,0x475c9930c09c7a7526a9596dd4dc191a31ef99253ccbf7045720501fc49ba0fb
2.31,50.0,20672.0,0.02,0.958,41,0.29,15074.0,4.5,200,Iran closes its airspace by July 15?,0x5cf44e7b58610c8ac35b45c23846887e4efe31fda7963711e85d808647ad44d9
2.3,600.0,259754.0,0.01,0.987,57,0.385,77577.0,4.5,200,"US x Iran permanent peace deal by July 31, 2026?",0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
2.27,200.0,86958.0,0.01,0.997,26,0.555,62494.0,4.5,200,Will Donald Trump announce that the United States blocka,0x4d0c4865bdecc5f7971dbab47bb6c069d93909dec75bdff52fb766ae6094a6d6
2.22,38.0,16107.0,0.01,0.985,129,0.625,311.0,4.5,20,Will Seattle Mariners win the 2026 AL West title?,0x23e0d20e64af67ba1e932a34b7de1a17064e0ec6d9029d09fc0a0610dccb46f7
2.1,40.0,18009.0,0.01,0.939,211,0.755,5195.0,4.5,20,Ink FDV above $100M one day after launch?,0x78a5be9b2ca414ffea0ac2a5fb8acd8f17a1361365fa423741cbc412db4313b8
2.09,14.0,5686.0,0.02,0.874,27,0.12,1193.0,4.5,50,"Will Gold (XAUUSD) hit (HIGH) $4,900 in June?",0xeeaf6cdbe59004ce1cc24f0b305e6ec505d647f0c8a4681088d64087c4f37cc9
2.07,200.0,95787.0,0.01,0.97,26,0.325,251798.0,3.5,200,US-Iran nuclear deal by June 30?,0xa70fc3695a65833b91b45df6db6015096f3e1471b70352ca411b4209010e7633
2.07,38.0,17345.0,0.01,0.999,575,0.525,6582.0,4.5,100,Will Anthropic’s market cap be 1.8T or greater at market,0x2709a9392fcfe2348ad935b3158d5e4184ef484cf233d536ecdaa3148bda4aad
2.01,100.0,48662.0,0.01,0.999,210,0.465,96712.0,4.5,100,US strike on Cuba by December 31?,0x3de0f3d7d7efb40cde68e814d40a0b232832083653c8e78260eb999baa967de0
2.0,16.0,6981.0,0.02,0.992,129,0.59,1904.0,4.5,50,Will the 2026 United Left primary for the 2027 French pr,0x4a8be083c607742c3ab1493d01075009865f5fc8cfbb0563370a8f0bea8cae74
